regionID,zipCode,city,lat,lon,yearlyDemand,minutesPerStop
271,33210,GIJON,43.5357,-5.6615,16772,13.004861217075026
272,17773,PONTOS,42.17636666666667,2.919833333333333,710,13.80298198193874
273,50830,VILLANUEVA DE GALLEGO,41.7692,-0.8235,387,20.696011614165652
274,23500,JODAR,37.8406,-3.3526,2272,17.4000855632952
275,32111,PADERNE DE ALLARIZ,42.4756,-7.9174,1898,17.842767497863427
276,46182,"CAÑADA, LA",39.53185,-0.4841499999999999,16697,14.489943853655923
277,49690,SAN CRISTOBAL DE ENTREVIÑAS,42.0458,-5.6347,1776,23.976613805599012
278,06614,ALMORCHON,38.7,-5.2833,376,22.28605747929128
279,06770,CASAS DE DON PEDRO,39.1082,-5.3308,230,23.286045883886654
280,28214,FRESNEDILLAS,40.1642,-3.7327,3689,13.017520665847831
281,06700,VILLANUEVA DE LA SERENA,38.9766,-5.7974,1431,21.209025519736556
282,34886,VELILLA DEL RIO CARRION,42.8261,-4.8463,781,26.100750845870348
283,24393,SANTA MARINA DEL REY,42.50082857142858,-5.836914285714286,1724,24.913885629170533
284,15689,ORDENES,43.0771380952381,-8.424495238095238,1485,14.961048502476098
285,15810,ARZUA,42.9281,-8.1641,1065,18.232626012388067
286,22423,ESTADILLA,42.0566,0.2436,3141,18.609519636253374
287,06870,"GARROVILLA, LA",38.9201,-6.4777,1018,18.269759475881084
288,46295,SUMACARCEL,39.06575,-0.61015,1243,18.225198366572062
289,06930,BERLANGA,38.2821,-5.8297,820,22.22188150169016
290,33459,CASTRILLON,43.54141111111111,-6.030788888888889,1499,21.017209858960488
291,10380,CIUDAD REAL,39.666,-5.8134,104,13.606335909474316
292,39860,RASINES,43.28878571428571,-3.454278571428571,1052,11.04861128284243
293,24010,LEON,42.6,-5.5703,2492,21.336217231248334
294,14549,"MONTIELA, LA",37.55945,-4.826925,1343,16.39241313795091
295,46837,QUATRETONDA,38.9459,-0.402,1165,14.962054705825503
296,10520,CASATEJADA,39.8868,-5.6819,912,14.199167619108792
297,43422,BARBERA DE LA CONCA,41.4,1.2333,5793,16.57326070238522
298,27720,PUENTE NUEVO,43.3262,-7.1462,642,23.284827255669335
299,21660,MINAS DE RIOTINTO,37.6969,-6.5943,513,18.912941912833805
300,34410,MONZÓN DE CAMPOS,42.116,-4.4928,7163,15.37087208743933
301,32540,"GUDIÑA, LA",42.011,-7.0647,266,22.72434709669964
302,13003,CIUDAD REAL,38.9906,-3.9272,7651,10.921834867251283
